Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,CALCULATED R-GPCD 2014 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),CALCULATED R-GPCD 2013 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections
Golden State Water Company Norwalk,Stage 2,Yes,Sep-14,424.5,467.3,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 44,327 ",73,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",37.2,AF,138323930.8,152270371.8,73.23,80.61,70%,No Correction Needed
Golden State Water Company Norwalk,Stage 2,Yes,Oct-14,415.3,438.2,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 44,327 ",66,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    September 2014: Developed and distributed CPUC-mandated drought mail piece to all customers; provided mail piece to Customer Service Representatives in both English and Spanish to communicate with customers; added Water Waste Report Form to company website, providing customers with online option to report water waste in their communities; water-use efficiency information shared at local community events.    October 2014: Drafted localized opinion editorials for placement by Customer Service Area, highlighting communities‰Ûª water-use reductions, encouraging additional conservation and sharing the State Water Board‰Ûªs outdoor urban water regulations ; shared drought information, statewide conservation efforts and the State Water Board‰Ûªs outdoor urban water regulations through a featured article in the company‰Ûªs October e-Newsletter to customers; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",41,AF,135326097.6,142788095.3,65.98,69.62,67%,No Correction Needed
Golden State Water Company Ojai,Stage 2,Yes,Jun-14,217.3,236.5,AF,," 9,504 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,70807515.09,77063862.49,221.03,240.55,89%,No Correction Needed
Golden State Water Company Ojai,Stage 2,Yes,Jul-14,239.9,258.4,AF,," 9,504 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,78171757.34,84200008.74,236.14,254.35,89%,No Correction Needed
Golden State Water Company Ojai,2,Yes,Aug-14,228,261.7,AF,," 9,504 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,74294125.36,85275318.45,224.43,257.60,89%,No Correction Needed
Golden State Water Company Ojai,Stage 2,Yes,Sep-14,213.3,247.8,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 9,504 ",166,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,,69504109.38,80745983.61,165.52,192.29,68%,No Correction Needed
Golden State Water Company Ojai,Stage 2,Yes,Oct-14,201.7,210,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 9,504 ",185,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    September 2014: Developed and distributed CPUC-mandated drought mail piece to all customers; provided mail piece to Customer Service Representatives in both English and Spanish to communicate with customers; added Water Waste Report Form to company website, providing customers with online option to report water waste in their communities; water-use efficiency information shared at local community events.    October 2014: Drafted localized opinion editorials for placement by Customer Service Area, highlighting communities‰Ûª water-use reductions, encouraging additional conservation and sharing the State Water Board‰Ûªs outdoor urban water regulations ; shared drought information, statewide conservation efforts and the State Water Board‰Ûªs outdoor urban water regulations through a featured article in the company‰Ûªs October e-Newsletter to customers; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,,65724232.83,68428799.67,185.38,193.01,83%,No Correction Needed
Golden State Water Company Orcutt,Stage 2,Yes,Jun-14,757.8,830.3,AF,," 29,543 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,246930211.4,270554439.8,267.47,293.06,96%,No Correction Needed
Golden State Water Company Orcutt,Stage 2,Yes,Jul-14,778.1,879.8,AF,," 29,543 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,253544995.3,286684085.5,265.77,300.51,96%,No Correction Needed
Golden State Water Company Orcutt,2,Yes,Aug-14,735.8,833.2,AF,," 29,543 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,239761480,271499409,251.32,284.59,96%,No Correction Needed
Golden State Water Company Orcutt,Stage 2,Yes,Sep-14,675.6,788.7,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 29,543 ",210,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,,220145224.1,256999020.5,210.14,245.32,85%,No Correction Needed
Golden State Water Company Orcutt,Stage 2,Yes,Oct-14,671.1,721.7,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 29,543 ",202,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    September 2014: Developed and distributed CPUC-mandated drought mail piece to all customers; provided mail piece to Customer Service Representatives in both English and Spanish to communicate with customers; added Water Waste Report Form to company website, providing customers with online option to report water waste in their communities; water-use efficiency information shared at local community events.    October 2014: Drafted localized opinion editorials for placement by Customer Service Area, highlighting communities‰Ûª water-use reductions, encouraging additional conservation and sharing the State Water Board‰Ûªs outdoor urban water regulations ; shared drought information, statewide conservation efforts and the State Water Board‰Ûªs outdoor urban water regulations through a featured article in the company‰Ûªs October e-Newsletter to customers; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,,218678892.7,235166974.9,202.24,217.49,85%,No Correction Needed
Golden State Water Company Placentia,Stage 2,Yes,Jun-14,753.9,731.1,AF,," 50,201 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,245659390.8,238229978.3,151.70,147.11,93%,No Correction Needed
Golden State Water Company Placentia,Stage 2,Yes,Jul-14,791,788.5,AF,," 50,201 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,257748478.8,256933850.2,154.03,153.54,93%,No Correction Needed
Golden State Water Company Placentia,2,Yes,Aug-14,749.9,781.3,AF,," 50,201 ",,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:  January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.  February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.     March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.  April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.   May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.  July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.  August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.  Please see www.gswater.com for additional information. ",,,244355985.1,254587719.9,146.03,152.14,93%,No Correction Needed
Golden State Water Company Placentia,Stage 2,Yes,Sep-14,720.4,743.3,AF,Percent Residential Use based on 2013 billing data for the volume of water provided to residential customers for the same reporting month.  ," 50,201 ",113,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Board‰Ûªs (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,,234743368,242205365.7,112.54,116.11,72%,No Correction Needed
