Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
Fullerton  City of,One,Yes,Jul-14,2985.4,3024.35,AF,,138000,,,,," 972,796,850 "," 985,488,763 ",75%,No Correction Needed
Sierra Madre  City of,2,No,Jul-14,79.63,81.74,MG,"Remainder of use was commercial, industrial and landscape irrigation",11100,,,,," 79,630,000 "," 81,740,000 ",97%,No Correction Needed
Georgetown Divide Public Utilities District,2,Yes,Jul-14,70.101,94.863,MG,Percentage of water produced primarily for residential with small portion to commercial.  Potable water generally not used for agriculture. District has non treated water for agricultural community.,9499,,,,," 70,101,000 "," 94,863,000 ",100%,No Correction Needed
Norwalk City of,1,Yes,Jul-14,59.07,68.85,MG,59.07 MG does not include the purchase water from City of Santa Fe Springs which will be available within next 2 days.  Updated figure will be submitted once City of Santa Fe Springs data is available.,18361,,,,," 59,070,000 "," 68,850,000 ",90%,No Correction Needed
Glendora  City of,1,Yes,Jul-14,440,453,MG,"The City of Glendora has been very proactive with our conservation efforts. In 2009 our Council adopted mandatory Stage-1 restrictions. Which included 2.5 full time employees which included 2 Conservation Officers and a Managment Analyst, dedicated to conservation. The success of our program is measured against a 3 years base average of 2006, 2007 & 2008. This year so far we have achieved a 12% residential reduction.",48200,"No watering between 8am and 5pm. Excessive runoff is prohibited. Hoses must have shut off nozzles. Leaks must be repaired within 24 hrs. Restaurants provide water glasses only upon request. We green tag violators and issue fines for repeat offenders.   2.5 full time employees which included 2 Conservation Officers and a Management Analyst, dedicated to conservation. Two additional conservation officers have just been hired to patrol after hours for runoff.  ","Water Use Efficiency surveys.   Presentations at 3dr, 5th and 6th grade classes.  Poster Slogan Contests.  Presentations at local clubs such as Rotary and Kiwanis.  Large rebate program.  $4 per sq/ft turf removal program ($2 MWD & $2 Glendora).  Conservation booths and give aways at local events.  ",,," 440,000,000 "," 453,000,000 ",85%,No Correction Needed
Santa Fe Irrigation District,Level 1,No,Jul-14,1414.8,1339.6,AF,,19386,,"Staff will be going to its Board of Directors on August 21, 2014 recommending going to a Water Shortage Response Level 2 with Mandatory outdoor water use restrictions.",,," 461,014,599 "," 436,510,572 ",84%,No Correction Needed
Rosamond Community Service District,2,Yes,Jul-14,122,129,MG,,17700,Water allowed at night from 8 pm to 8 am Even number addresses may water Sunday Tuesday and Thursday Odd number addresses may water Saturday Monday and Wednesday No watering on Fridays Watering limited to 25 minutes a day Leaks and overflows should be fixed and adjusted quickly ,,,," 122,000,000 "," 129,000,000 ",83%,No Correction Needed
Park Water Company,Voluntary 14.1,No,Jul-14,1066.47,1197.33,AF,,128193,,,18116,AF," 347,510,771 "," 390,151,689 ",69%,No Correction Needed
Poway  City of,Level 2,Yes,Jul-14,1410,1417,AF,A portion of the reported Potable Water produced consists of raw water delivered to golf courses.,51789,,,,," 459,450,512 "," 461,731,472 ",73%,No Correction Needed
Rio Linda - Elverta Community Water District,Stage 2,Yes,Jul-14,115965570,149404660,G,,10936,,,,," 115,965,570 "," 149,404,660 ",95%,No Correction Needed
Padre Dam Municipal Water District,Level 2 - Drought Alert,Yes,Jul-14,1226.1,1300.3,AF,,88020,"People wishing to report water waste in Padre Dam's service area can use Padre Damâ€™s online form at:  http://www.padredam.org/FormCenter/Reportâ€êWaterâ€êWasteâ€ê10/Reportâ€êWaterâ€êWasteâ€ê42 or those without internet access can call 619â€ê258â€ê4644. Padre Dam will followâ€êup with a letter to the water waster about drought, mandatory water use restrictions, and conservation programs available.",,,," 399,526,435 "," 423,704,611 ",94%,No Correction Needed
Millbrae  City of,Recommending Stage 1,Yes,Jul-14,103641,125943,CCF,,21532,,,,," 77,528,852 "," 94,211,906 ",72%,No Correction Needed
Groveland Community Services District,III,Yes,Jul-14,15941376,22619520,G,,3400,,,,," 15,941,376 "," 22,619,520 ",97%,No Correction Needed
Paramount  City of,,,Jul-14,625.19,638.57,AF,,57989,,,,," 203,719,054 "," 208,078,946 ",69%,No Correction Needed
Pasadena  City of,Level 1,Yes,Jul-14,3316.43,3475.43,AF,,165740,,,,," 1,080,663,448 "," 1,132,473,825 ",69%,No Correction Needed
Vernon  City of,Phase I,Yes,Jul-14,700.56,691.88,AF,Water System nearly 100% commercial and industrial use.,100,,,,," 228,278,476 "," 225,450,085 ",1%,DATA CORRECTION
Pico Water District,2,Yes,Jul-14,317.78,328.37,AF,,24100,,,,," 103,549,066 "," 106,999,833 ",84%,No Correction Needed
California City  City of,Stage I,No,Jul-14,688,672,AF,,14120,,,,," 224,185,782 "," 218,972,159 ",65%,No Correction Needed
Palo Alto  City of,Stage II,Yes,Jul-14,582875,583784,CCF,"Production numbers are an estimate.  If reporting this to the public or disclosing in any way, please footnote this number as preliminary.  Actual numbers will be provided once available from the City's water supplier.  Contact Jonathan Abendschein (650-329-2309) with any questions.    Residential use percentage is an estimate, assumed to be equal to previous month's residential use.  Billing for July consumption is not yet complete.",64403,,,,," 436,020,779 "," 436,700,758 ",61%,No Correction Needed
Rialto  City of,Stage 1,No,Jul-14,1075,1159,AF,,48632,The City is adopting the Stage 2 in October 2014 with mandatory restriction.,,3.59,AF," 350,290,284 "," 377,661,804 ",100%,No Correction Needed
Santa Paula  City of,None,No,Jul-14,463.88,494.58,AF,,29321,,,,," 151,155,960 "," 161,159,599 ",100%,No Correction Needed
South Pasadena  City of,Stage 1,Yes,Jul-14,427,456,AF,,25899,,,,," 139,138,559 "," 148,588,251 ",100%,No Correction Needed
Torrance  City of,level1-mandatory,Yes,Jul-14,1853,1895,AF,This report pertain to the area served by Torrance Municipal Water(TMW) only. Approximately 22% of of the City of Torrance is served by an investor owned utility. Population is for tMW base on 2010 UWMP escalated by City growth rate.      Please note: Item #8 does not permit data entry  Residentila R-GPCD for Julu 2014=105,109000,,,647,AF," 603,802,694 "," 617,488,454 ",100%,No Correction Needed
West Sacramento  City of,2,Yes,Jul-14,1500,1884,AF,,47910,,,,," 488,777,141 "," 613,904,088 ",100%,No Correction Needed
Fallbrook Public Utility District,Stage 1,Yes,Jul-14,1420.8,1513,AF,,34894,,,78.8,AF," 462,969,707 "," 493,013,209 ",55%,No Correction Needed
Morgan Hill  City of,Level 1,Yes,Jul-14,300612000,363519000,G,  ,40807,,,,," 300,612,000 "," 363,519,000 ",88%,No Correction Needed
Valley Center Municipal Water District,Stage 2,Yes,Jul-14,3246.9,3301.1,AF,Agricultural use accounts for 68.4% of the July 2014 production total.,25378,,,,," 1,058,006,998 "," 1,075,668,146 ",23%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Jul-14,1597.3,1526.8,AF,,42353,,,,," 520,482,484 "," 497,509,959 ",100%,No Correction Needed
Redwood City  City of,2,Yes,Jul-14,423522,456036,CCF,,84557,,,48334,CCF," 316,816,457 "," 341,138,618 ",50%,No Correction Needed
Lemoore  City of,Stage 1,Yes,Jul-14,280327000,296652000,G,,25281,,,,," 280,327,000 "," 296,652,000 ",63%,No Correction Needed
Reedley  City of,1,Yes,Jul-14,197,229,MG,27 mg delivered to residential / 197 produced x 100 = 14%,24194,,,,," 197,000,000 "," 229,000,000 ",14%,No Correction Needed
Golden State Water Company Cordova,Stage 2,Yes,Jul-14,1754.4,2071.8,AF,,48438,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 571,673,744 "," 675,098,986 ",91%,No Correction Needed
Golden State Water Company Bay Point,Stage 2,Yes,Jul-14,197.3,220.9,AF,,23510,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 64,290,487 "," 71,980,580 ",97%,No Correction Needed
Glendale  City of,Stage 2,Yes,Jul-14,2598.2,2668.3,AF,,195800,,,217.4,AF," 846,627,178 "," 869,469,363 ",80%,No Correction Needed
Fruitridge Vista Water Company,two,Yes,Jul-14,141618000,185431700,G,,16800,,,,," 141,618,000 "," 185,431,700 ",100%,No Correction Needed
Golden State Water Company Culver City,Stage 2,Yes,Jul-14,538.4,537.5,AF,,36838,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 175,438,408 "," 175,145,142 ",84%,No Correction Needed
Golden State Water Company S San Gabriel,Stage 2,Yes,Jul-14,249.2,251.4,AF,,29274,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 81,202,176 "," 81,919,049 ",94%,No Correction Needed
Galt  City of,2,Yes,Jul-14,228.1,252.4,MG,,24289,,,61.6,MG," 228,100,000 "," 252,400,000 ",56%,No Correction Needed
Golden State Water Company Orcutt,Stage 2,Yes,Jul-14,778.1,879.8,AF,,29543,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 253,544,995 "," 286,684,085 ",96%,No Correction Needed
Inglewood  City of,,,Jul-14,244.92,244.8,MG,,115904,,,,," 244,920,000 "," 244,800,000 ",100%,No Correction Needed
Susanville  City of,2,Yes,Jul-14,94.48,88.39,MG,,9344,,,,," 94,480,000 "," 88,390,000 ",100%,No Correction Needed
South Feather Water and Power Agency,4,Yes,Jul-14,274.6,294.5,MG,,16346,,,,," 274,600,000 "," 294,500,000 ",100%,No Correction Needed
Red Bluff  City of,2,Yes,Jul-14,175.491212,161.493249,MG,,14076,,,,," 175,491,212 "," 161,493,249 ",80%,DATA CORRECTION
El Segundo  City of,"Jan 1, 2010 Water Conservation Ordinance",Yes,Jul-14,261125,237671,CCF,,16654,,,,," 195,335,065 "," 177,790,255 ",26%,No Correction Needed
Alco Water Service,2,Yes,Jul-14,139.543,149.155,MG,,29334,,,,," 139,543,000 "," 149,155,000 ",85%,No Correction Needed
"Anderson, City of",,No,Jul-14,113.185,126.998,MG,,10050,,Water Shortage Contingency Plan approved by City Council on 8/19/2014.,,," 113,185,000 "," 126,998,000 ",59%,No Correction Needed
Arvin Community Services District,Stage 2,Yes,Jul-14,106995253,99070000,G,,18000,,,,," 106,995,253 "," 99,070,000 ",100%,No Correction Needed
Atascadero Mutual Water Company,Stage 2,Yes,Jul-14,198.9,238,MG,,30009,"Remedies - In the event any person, firm, partnership, association, corporation, or political entity is found by the Board of Directors to be in violation of any restriction or prohibition of this Resolution, the Board of Directors may impose a special water waste surcharge against such person's account and may temporarily or permanently discontinue or restrict, with a flow regulating device, water service to the affected property.  Before taking such action, the Board of Directors shall give any such person reasonable notice and an opportunity to be heard and protest against the finding of such violation and the imposition of such measures.  The Board may determine the terms and conditions of the discontinuance or restriction of service and may establish, by Resolution, a schedule of the amount of such surcharges as in its sole discretion will reasonably compensate AMWC and its customers for all loss of water and other damages incurred.   ","Wasteful Use of Water - No water user shall waste any water supplied through the distribution facilities of AMWC or through any well under agreement with AMWC.  The following restrictions and prohibitions on the use of water are in effect under this resolution:    A. Run-off from landscaped surfaces:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops and trees, including agricultural irrigation, in a manner or to an extent which allows substantial amounts of excess water to run off the area being watered is prohibited.  Every water user is deemed to have under his control at all times his water distribution lines and facilities and to know the manner and extent of his water use and excess runoff.    B. Washing of hard-surfaced areas:  The washing of sidewalks, walkways, driveways, parking lots and all other hard-surfaced areas by direct hosing is prohibited, except as directed by governmental entities or agencies to eliminate matters and substances dangerous to the public health and safety.     C. Plumbing leaks:  The escape of water through breaks or leaks within the water userâ€™s plumbing or distribution system for any substantial period of time within which such break or leak should reasonably have been discovered and corrected is prohibited.  It shall be presumed that a period of 24 hours after the water user discovers such leak or break, whichever occurs first, is a reasonable time within which to correct such leak or break.    D. Maintenance flushing:  The use of water by governmental entities or agencies is prohibited for (1) routine water system flushing for normal maintenance, (2) routine sewer system flushing for normal maintenance, and (3) fire personnel training; except as approved in advance in writing by the AMWC Board of Directors.    E. Washing of Vehicles:  The washing of vehicles and other activities involving the use of a hose without a shutoff nozzle is prohibited.     F. Outdoor Watering Hours:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, between the hours of 10 a.m. and 5 p.m. is prohibited.    G. Outdoor Watering Days:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, shall be limited to Tuesdays, Thursdays, and Saturdays for properties with even-numbered street addresses, and Wednesdays, Fridays, and Sundays for properties with odd-numbered street addresses. The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, on Mondays on any property within the service area of AMWC is prohibited.  ",,," 198,900,000 "," 238,000,000 ",80%,DATA CORRECTION
Atwater  City of,,Yes,Jul-14,351,452,MG,,28000,,,,," 351,000,000 "," 452,000,000 ",85%,No Correction Needed
Bakersfield  City of,3,Yes,Jul-14,2324900,2284542,CCF,"July 2013 total meters = 41,502.  July 2014 total meters = 42,678.",139960,,,83.3,AF," 1,739,145,974 "," 1,708,956,093 ",71%,No Correction Needed
Bella Vista Water District,4,Yes,Jul-14,1212,2355,AF,"The above numbers represent the billed water usage for the month of July. The water meters in the District are read bimonthly (every 2 months).  As a result the meter readings for July 1, 2014 reflect less than 1 day of usage during the month of July.  Similarly, meters read on September 30, 2014 reflect 1 day of usage during the month of July.  Therefore, the percentage of ""Residential Use"" will vary month to month because a different set of meters are read in even months and odd months.  In addition, metered water usage lags water production by at least 30 days.  The only reliable comparison is on an annual basis. ",16500,,"On February 27, 2014 (5 months before the State's adoption of the emergency regulatory action) the District declared a water shortage emergency and in addition to imposing mandatory water usage allotments imposed the following water use restrictions:   â€¢ During the summer months outside watering should be limited to non-windy periods and before 11 a.m. and after 6 p.m.  â€¢ Construction and hauled water is $2.50 per HCF within the District.  â€¢ No supply for construction or hauled water outside District boundary.  â€¢ No filling of new ponds or new lakes.  â€¢ No cleaning of driveway and other ""hard"" surfaces with water.  â€¢ No car washing without the use of hose end shut-off devices.    Currently, all M&I customers are allotted 85% of their 3-year (2011, 2012 and 2013) historical usage for the same bimonthly period.  Customers who use in excess of their allotment are charged a penalty $2.50 per HCF for all usage over their allotment. Note: 85% of the 3-year average is equivalent to approximately 78% of the 1-year (2013) usage.   ",,," 394,931,930 "," 767,380,111 ",54%,No Correction Needed
Covina  City of ,Level 1,Yes,Jul-14,600.55,604.88,AF,The AF does not include agriculture usage.,39711,1st Violation Warning â€“ no charge  2nd Violation / within 12 mos.$50  3rd Violation / within 12 mos.$100  4th Violation / within 12 mos.$250    These penalities include written warnings as well as photos from field staff.  ,"Flyers with information regarding watering times and days are located at each public city office, notices included in monthly utility bills, as well as a reverse phone call for all phone numbers we have on file for covina residents.",,," 195,690,074 "," 197,101,011 ",100%,No Correction Needed
Fairfield  City of,0,Yes,Jul-14,793,849,MG,,105382,,Public Outreach to encourage voluntary 20% reduction in water use,,," 793,000,000 "," 849,000,000 ",50%,No Correction Needed
Fillmore  City of,0,No,Jul-14,80208000,86772000,G,,15222,,,,," 80,208,000 "," 86,772,000 ",100%,No Correction Needed
"Greenfield, City of",STAGE 2,,Jul-14,187,204.6,AF,SINGEL FAMILY   MULTI FAMILY  TRAILER/MOBILE HOME PARKS,17898,NONE,NONE,,," 60,934,217 "," 66,669,202 ",86%,No Correction Needed
Healdsburg  City of,Stage 2,Yes,Jul-14,74.88,83.85,MG,NA,11254,"13 Enforcement Letters Sent, June and July 2014.",HEALDSBURG'S CONSERVATION ACTIONS,,," 74,880,000 "," 83,850,000 ",65%,No Correction Needed
"Kingsburg, City of",Normal,Yes,Jul-14,141.64,170.15,MG,,11504,We have initiated random enforcement potrols and will soon be increasing the fees for violation. ,The city is continuing to reach out to our customers encouraging conservation.,,," 141,640,000 "," 170,150,000 ",90%,No Correction Needed
Lamont Public Utility District,2,Yes,Jul-14,148.1,164,MG,,18290,,,,," 148,100,000 "," 164,000,000 ",88%,No Correction Needed
"Lathrop, City of ",2,Yes,Jul-14,166.94,187.34,MG,Agriculture used 78.36mg during the month of July,19831,,,,," 166,940,000 "," 187,340,000 ",34%,No Correction Needed
Lee Lake Water District,2,Yes,Jul-14,140966,161797,CCF,,13168,,,,," 105,449,891 "," 121,032,561 ",80%,No Correction Needed
Livingston  City of,Stage 2,Yes,Jul-14,253749000,252776000,G,about 50% is used by Foster Farms Poultry Plant which averages 4.5 mg a day,14894,watering has been cut down to 2 days per week,,,MG," 253,749,000 "," 252,776,000 ",40%,DATA CORRECTION
Manteca  City of,1,Yes,Jul-14,557.395,610.991,MG,,71164,,,,," 557,395,000 "," 610,991,000 ",100%,No Correction Needed
Montecito Water District,3,Yes,Jul-14,405,818,AF,See June 2014 report,13500,,See June 2014 report,,," 131,969,828 "," 266,546,467 ",73%,No Correction Needed
Norco  City of,Stage 1,Yes,Jul-14,913.46,881.6,AF,,27160,,,,," 297,652,245 "," 287,270,618 ",65%,No Correction Needed
Oakdale  City of,One,Yes,Jul-14,199,263,MG,,21442,,,,," 199,000,000 "," 263,000,000 ",90%,No Correction Needed
"Perris, City of",NA,Yes,Jul-14,186.757,199.106,AF,,9000,,,,," 60,855,035 "," 64,878,974 ",75%,No Correction Needed
Porterville  City of,Phase II,No,Jul-14,533.1577,541.366,MG,,59650,,,,," 533,157,700 "," 541,366,000 ",72%,No Correction Needed
Redding  City of,Stage 2,Yes,Jul-14,1145.7,1292.1,MG,,89861,,"City Council adopted an Urgency Ordinance on August 5, 2014 taking the City from Stage 1 to Stage 2 conservation measures.  Stage 2 includes mandatory restrictions on outdoor water use.",,," 1,145,700,000 "," 1,292,100,000 ",72%,No Correction Needed
Riverbank  City of,1st,Yes,Jul-14,146.305,176.651,MG,,22201,,,,," 146,305,000 "," 176,651,000 ",90%,No Correction Needed
San Lorenzo Valley Water District,Stage 2,Yes,Jul-14,51602206,74127105,G,,19000,,,,," 51,602,206 "," 74,127,105 ",95%,No Correction Needed
Sanger  City of,2,Yes,Jul-14,219.933,225.137,MG,,25664,,,,MG," 219,933,000 "," 225,137,000 ",59%,No Correction Needed
Vallejo  City of,NA,No,Jul-14,567.188,628.609,MG,,124000,"The City has informed its citizens of the prohibitions through a variety of media: website, newsletter, press release, and brochure.  Vallejo has expanded existing Water Conservation Program efforts to educate the public regarding both these specific use prohibitions and the City's Wasteful Water Use Prohibition Ordinance.  The City has also expanded the avenues available to receive water waste advisories, including the use of SeeClickFix.  Windshield surveys are being conducted and all advisories are followed up by site visit.  Water saving devices continue to be distributed upon request. All City owned or maintained water features have been shut down, and watering schedules reduced.","The City has urged its customers to limit outdoor watering to no more than three days per week and to limit watering hours to early morning and evening.  The Vallejo City Council is scheduled to consider, later in August, a resolution implementing outdoor water use restrictions in compliance with the SWRCB's July 15, 2014 emergency drought regulations.",,," 567,188,000 "," 628,609,000 ",64%,No Correction Needed
Winton Water & Sanitary District,Stage 1,Yes,Jul-14,68.006,76.169,MG,4% commercial use,8500,,,,," 68,006,000 "," 76,169,000 ",96%,No Correction Needed
Big Bear City Community Services District,1,Yes,Jul-14,122,129,AF,4% of our production supplies an endangered species called the 3 spine stickleback fish.  ,7884,We are currently tracking customers who have been warned for excessive water usage or not following our Stage 1 requirements.  We do have fines for customers who are warned more than once.,,,AF," 39,753,874 "," 42,034,834 ",95%,No Correction Needed
Hi-Desert Water District,1,Yes,Jul-14,330.44,337.54,AF,"Residential water use is calculated using consumption data by comparing residential water users (SFR, MHP, and MTF) to the remaining accounts such as irrigation, commercial, and public entities.",24601,The District passed 14-22 outlining 4 levels of violations ranging from warning letters to a $100.00 fine.,,,," 107,674,346 "," 109,987,891 ",65%,No Correction Needed
Pismo Beach  City of,3 or 4 - Severely Restricted,Yes,Jul-14,205,230,AF,,7676,First violation = warning  Second violation = $100 fine  Third violation = $200 fine  Fourth violation = $500 fine  future violations possible water shutoff   ,Water use restrictions are  ïÅ_ ,Excessive gutter runoff prohibited   ïÅ_,Washing vehicles or boats shall be attended and have a hand-controlled watering device  ïÅ_," 66,799,543 "," 74,945,828 ",75%,No Correction Needed
East Bay Municipal Utilities District,Moderate,Yes,Aug-14,6222,7172.3,MG,"1Single Family Residential is 49 percent of total use; Multi-Family Residential is 20% of total use.  2.EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUDâ€™s service area on February 11, 2014; and through July 31, 2014 actual water production was 10.7 percent less in 2014 than for the same period in 2013.",1330000,"EBMUDâ€™s Board adopted Section 28 of the Districtâ€™s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDâ€™s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the stateâ€™s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",,," 6,222,000,000 "," 7,172,300,000 ",69%,No Correction Needed
Morro Bay  City of,Severely Restricted,Yes,Aug-14,35695596,40528972,G,,10461,,,,," 35,695,596 "," 40,528,972 ",64%,No Correction Needed
